"","Site","Bout","Date","Duration","SampRate","Stereo","BIO","ACI","NDSI","ADI","AEI","H","M"
"1","AR-1A","Bout_1","MINI5_20220119_082019.wav",300,24000,FALSE,26.1544667563541,12765.8220828341,0.305582417621003,2.168052,0.368267,0.8710732574905,2.74052475580636e-05
"2","AR-1A","Bout_1","MINI5_20220119_091500.wav",300,24000,FALSE,27.0354296663173,12213.8908760078,0.501025401574538,2.113426,0.415839,0.886342849084376,2.11173041935245e-05
"3","AR-1A","Bout_1","MINI5_20220119_145400.wav",300,24000,FALSE,97.3275412413687,8881.32847408487,0.416614721115518,2.047982,0.419866,0.829627944620194,8.59194216413982e-06
"4","AR-1A","Bout_1","MINI5_20220119_155400.wav",300,24000,FALSE,97.7669408090171,9300.76378660966,0.357575132081977,2.04661,0.425735,0.835693730627375,6.79580554965956e-06
"5","AR-1A","Bout_1","MINI5_20220119_165400.wav",300,24000,FALSE,82.2952807464835,9222.31139963139,-0.00762017741538954,1.887558,0.51214,0.781224664847729,7.58612432458349e-06
"6","AR-1A","Bout_1","MINI5_20220119_175400.wav",300,24000,FALSE,80.4451083292855,9499.36623232642,0.157165581467699,1.68918,0.6076,0.776381316383911,9.10472456756206e-06
"7","AR-1A","Bout_1","MINI5_20220119_185400.wav",300,24000,FALSE,69.1002685691169,9819.55532949881,0.598231142997883,2.035669,0.435302,0.842747317950177,1.22253396702611e-05
"8","AR-1A","Bout_1","MINI5_20220120_051500.wav",300,24000,FALSE,63.7937144067972,9000.58846933351,-0.878793798395521,1.323422,0.72662,0.70964685627344,1.00011558106884e-05
"9","AR-1A","Bout_1","MINI5_20220120_061500.wav",300,24000,FALSE,66.5870914744685,9003.50647985002,-0.813367230381874,1.133094,0.764505,0.711479670581163,1.01603248865536e-05
"10","AR-1A","Bout_1","MINI5_20220120_071500.wav",300,24000,FALSE,88.1097095764916,9342.19706880155,-0.745601625465217,1.55494,0.666912,0.709856420801437,1.56255732293435e-05
"11","AR-1A","Bout_1","MINI5_20220120_081500.wav",300,24000,FALSE,88.6375984188559,9579.00679929028,-0.66672933770494,1.561049,0.657389,0.712803627282924,1.48991099916825e-05
"12","AR-1A","Bout_1","MINI5_20220120_091500.wav",300,24000,FALSE,88.6685286630292,9917.36721009336,0.330607297938333,1.896202,0.50827,0.799199718803369,8.99596530924392e-06
"13","AR-1A","Bout_1","MINI5_20220120_145500.wav",300,24000,FALSE,82.2915680047094,9285.36894881128,0.841717196794401,2.212536,0.307045,0.898512887784662,4.02533842737598e-06
"14","AR-1A","Bout_1","MINI5_20220120_155500.wav",300,24000,FALSE,83.5383885228789,9013.76096701563,0.869113374470121,2.333078,0.150729,0.894532280632361,3.40012793852905e-06
"15","AR-1A","Bout_1","MINI5_20220120_165500.wav",300,24000,FALSE,91.9656982157051,9453.46568389217,0.314443048748613,2.142569,0.330208,0.893805232834015,4.16003467341917e-06
"16","AR-1A","Bout_1","MINI5_20220120_175500.wav",300,24000,FALSE,75.1028501270426,9448.61364634831,0.975179781493442,2.045806,0.454149,0.800855890868762,1.07924237860102e-05
"17","AR-1A","Bout_1","MINI5_20220120_185500.wav",300,24000,FALSE,83.2502669511998,9036.18568702368,0.973018897451817,2.265681,0.248242,0.911198846612464,1.51414717552641e-05
"18","AR-1A","Bout_1","MINI5_20220121_051400.wav",300,24000,FALSE,84.0638658658746,9164.2144880486,0.370058566254406,1.573958,0.639083,0.743735237497369,1.65131577962936e-05
"19","AR-1A","Bout_1","MINI5_20220121_061400.wav",300,24000,FALSE,74.7458576859765,9077.05094774707,-0.851601807029461,1.177141,0.758426,0.705663871589818,1.15637526828039e-05
"20","AR-1A","Bout_1","MINI5_20220121_071400.wav",300,24000,FALSE,79.6007990252851,9383.58645467078,-0.83359001340293,1.37402,0.714376,0.722514441849871,1.25401229120007e-05
"21","AR-1A","Bout_1","MINI5_20220121_081400.wav",300,24000,FALSE,110.81422249373,9793.77801148685,-0.0404784053519401,1.610242,0.644769,0.745384508094537,1.91885151051756e-05
"22","AR-1A","Bout_1","MINI5_20220121_091400.wav",300,24000,FALSE,90.5628023930555,9140.49878023268,-0.145824024008004,2.152055,0.33227,0.786364857995707,9.90009368668047e-06
"23","AR-2A","Bout_1","MINI2_20220119_081500.wav",300,24000,FALSE,23.2355637432986,13587.0570079107,0.379414322361602,2.040798,0.438445,0.876990460466117,3.44088313660368e-05
"24","AR-2A","Bout_1","MINI2_20220119_091500.wav",300,24000,FALSE,25.4365599867879,13198.1042766679,0.26459815378526,2.275803,0.276229,0.879154064351123,2.83874047151816e-05
"25","AR-2A","Bout_1","MINI2_20220119_145400.wav",300,24000,FALSE,81.3427223945394,8786.53330999483,0.903922941989072,2.21533,0.292654,0.882092591067281,7.54570983854531e-06
"26","AR-2A","Bout_1","MINI2_20220119_155400.wav",300,24000,FALSE,82.7534586871136,8822.67550308568,0.867107998322908,2.302567,0.200956,0.87618913631559,7.84458081325621e-06
"27","AR-2A","Bout_1","MINI2_20220119_165400.wav",300,24000,FALSE,85.5578219813066,9323.61112219649,0.769193053852173,2.198099,0.342198,0.837664243293569,7.16358857819142e-06
"28","AR-2A","Bout_1","MINI2_20220119_175400.wav",300,24000,FALSE,93.3720650122742,8965.63224944247,0.892706505016069,2.247066,0.255357,0.848672193082157,6.83959078198168e-06
"29","AR-2A","Bout_1","MINI2_20220119_185400.wav",300,24000,FALSE,65.5585884189991,9433.82158114354,0.808800110202495,2.294073,0.229021,0.850406459930375,9.50050513085835e-06
"30","AR-2A","Bout_1","MINI2_20220120_051500.wav",300,24000,FALSE,56.5246172730133,8752.67831694077,-0.0997223588750639,1.683094,0.60909,0.760509129090684,5.44679863171849e-06
"31","AR-2A","Bout_1","MINI2_20220120_061500.wav",300,24000,FALSE,59.2633729498214,8817.7414613196,-0.718248525157358,1.878018,0.529348,0.743638289266455,6.42423532964464e-06
"32","AR-2A","Bout_1","MINI2_20220120_071500.wav",300,24000,FALSE,105.137764962454,9920.75813960595,0.253787723932527,1.976065,0.468273,0.80687753185766,9.84751152417984e-06
"33","AR-2A","Bout_1","MINI2_20220120_081500.wav",300,24000,FALSE,76.1958775142474,9488.53599011192,0.33381666945594,1.718741,0.594891,0.758256916575377,8.75579161964743e-06
"34","AR-2A","Bout_1","MINI2_20220120_091500.wav",300,24000,FALSE,87.2562431164746,10071.1051875991,0.946749839176833,2.206177,0.318628,0.845136570192927,8.23416541710894e-06
"35","AR-2A","Bout_1","MINI2_20220120_145500.wav",300,24000,FALSE,75.1378094140574,8773.53122682153,0.993242825624552,2.348508,0.167282,0.826225879764355,9.28053205364536e-06
"36","AR-2A","Bout_1","MINI2_20220120_155500.wav",300,24000,FALSE,71.650076067525,8573.43996167435,0.992692593530228,2.377374,0.101474,0.845103353860909,8.16132697203735e-06
"37","AR-2A","Bout_1","MINI2_20220120_165500.wav",300,24000,FALSE,64.5255686740459,8948.90756800124,0.986443253047203,2.361458,0.148089,0.891681233324069,5.06952360949346e-06
