,Site,Bout,Date,Duration,SampRate,Stereo,BIO,ACI,NDSI,ADI,AEI,H,M
34,AR-1A,Bout_4,57O_0+1_20220401_061400.wav,300,24000,FALSE,41.72561227,8991.36497,0.909989646,2.393504,0.053451,0.894837567,1.45E-05
35,AR-1A,Bout_4,57O_0+1_20220401_071400.wav,300,24000,FALSE,48.91483712,8951.634391,0.53503255,2.394655,0.043459,0.916361965,1.03E-05
36,AR-1A,Bout_4,57O_0+1_20220401_081400.wav,300,24000,FALSE,39.50084539,8942.138931,0.388435745,2.395426,0.036212,0.912853429,8.84E-06
37,AR-1A,Bout_4,57O_0+1_20220401_154100.wav,300,24000,FALSE,55.05808829,10082.11414,0.780885228,2.374832,0.108494,0.936825182,6.80E-06
38,AR-1A,Bout_4,57O_0+1_20220401_164100.wav,300,24000,FALSE,55.60536683,9249.80534,0.987979387,2.208645,0.339089,0.90180305,8.53E-06
39,AR-1A,Bout_4,57O_0+1_20220401_174100.wav,300,24000,FALSE,40.88517276,8967.527543,0.974880827,2.395093,0.039528,0.860388095,1.33E-05
40,AR-1B,Bout_4,MINI1_20220328_163900.wav,300,24000,FALSE,77.66550906,8986.649747,0.758201089,2.281005,0.239908,0.882356511,8.30E-06
41,AR-1B,Bout_4,MINI1_20220328_173900.wav,300,24000,FALSE,80.66718186,8746.445397,0.934610468,1.505853,0.670338,0.824611576,7.30E-06
42,AR-1B,Bout_4,MINI1_20220328_183900.wav,300,24000,FALSE,96.30401431,9017.432498,0.3828144,1.822907,0.560369,0.850130878,6.17E-06
43,AR-1B,Bout_4,MINI1_20220328_193900.wav,300,24000,FALSE,101.9705312,9512.392894,0.73024091,1.823577,0.572435,0.88064998,7.89E-06
44,AR-1B,Bout_4,MINI1_20220328_203900.wav,300,24000,FALSE,61.85212671,9206.810739,0.904497086,2.020397,0.46342,0.849048503,9.72E-06
45,AR-1B,Bout_4,MINI1_20220329_051700.wav,300,24000,FALSE,68.52172871,9180.856535,-0.881837669,0.946847,0.797983,0.679724364,1.52E-05
46,AR-1B,Bout_4,MINI1_20220329_061700.wav,300,24000,FALSE,71.75002496,9116.707851,-0.842338637,0.960166,0.798449,0.687024968,1.49E-05
47,AR-1B,Bout_4,MINI1_20220329_071700.wav,300,24000,FALSE,109.5066553,10572.96481,0.684564312,1.684577,0.619147,0.788480113,1.70E-05
48,AR-1B,Bout_4,MINI1_20220329_081700.wav,300,24000,FALSE,106.0344176,10232.44072,-0.509487755,1.355655,0.722397,0.716380573,2.61E-05
49,AR-1B,Bout_4,MINI1_20220329_091700.wav,300,24000,FALSE,59.86387195,9106.961871,0.889481062,1.453099,0.702176,0.802760497,1.56E-05
50,AR-1B,Bout_4,MINI1_20220329_164000.wav,300,24000,FALSE,94.35773956,9072.882706,0.78335045,1.533966,0.656033,0.818053084,8.55E-06
